policy,delta_v_t_mps,final_tagged_covariance_median,final_position_error_median_km,final_position_error_p90_km
Advanced Greedy,0,0.01022907261123418,0.06934273615479469,0.14960001856088637
Advanced Greedy,10,0.010236847521842687,44.17500877380371,44.90737762451172
Advanced Greedy,100,0.010223194015832214,441.49754333496094,447.9780578613281
Frozen CNNv2 PPO,0,0.007849098550886797,0.029362669214606285,0.07490853890776634
Frozen CNNv2 PPO,10,0.007893820255619695,25.519015312194824,44.546826934814455
Frozen CNNv2 PPO,100,0.008156037034279306,275.50624084472656,446.9295227050781
