policy,condition,untagged_mean,tagged_seen_mean,tagged_unseen_mean,tagged_fraction,observed_catalog_mean,ceiling_catalog_mean,n_untagged,n_tagged_seen,n_tagged_unseen
advanced_greedy,nullburn,0.011803478198776361,0.007716186195450734,0.013043571042465264,0.2,0.011734517369116779,0.012051496767514143,8000,595,1405
advanced_greedy,random,0.011802417213757686,0.007716848561556691,0.01304869196922987,0.2,0.011736027035117872,0.012051672164852123,8000,592,1408
advanced_greedy,stress100to2000,0.012112123432541325,0.008019279312420724,0.013457232893708922,0.2,0.012127192892528687,0.012381145324774846,8000,467,1533
frozen_cnnv2_ppo,nullburn,0.0106602962483403,0.006705063690511661,0.019005515248620087,0.2,0.01059374633354716,0.012329340048396257,8000,1411,589
frozen_cnnv2_ppo,random,0.0106602962483403,0.006713258469888592,0.018979897569921137,0.2,0.010594620399551878,0.012324216512656468,8000,1410,590
frozen_cnnv2_ppo,stress100to2000,0.01066988587468369,0.006919308460075578,0.018213953732670415,0.2,0.010719431277061781,0.012178699446281036,8000,1292,708
