policy,condition,time_seconds,azimuth_deg
advanced_greedy,nullburn,1716.2,120.0
advanced_greedy,nullburn,1725.2,120.0
advanced_greedy,nullburn,1734.2,120.0
advanced_greedy,nullburn,1743.2,120.0
advanced_greedy,nullburn,1752.2,116.0
advanced_greedy,nullburn,1761.2,116.0
advanced_greedy,nullburn,1770.2,116.0
advanced_greedy,nullburn,1779.2,116.0
advanced_greedy,nullburn,1788.2,112.0
advanced_greedy,nullburn,1797.2,112.0
advanced_greedy,nullburn,1806.2,108.0
advanced_greedy,nullburn,1815.2,104.0
advanced_greedy,nullburn,1824.2,100.0
advanced_greedy,nullburn,1906.0,32.0
advanced_greedy,nullburn,1928.65,28.0
advanced_greedy,nullburn,1978.6000000000001,348.0
advanced_greedy,nullburn,1987.6000000000001,348.0
advanced_greedy,nullburn,1996.6000000000001,348.0
advanced_greedy,nullburn,2005.6000000000001,348.0
advanced_greedy,nullburn,2014.6000000000001,348.0
advanced_greedy,nullburn,2023.6000000000001,348.0
advanced_greedy,nullburn,2032.6000000000001,348.0
advanced_greedy,nullburn,2041.6000000000001,348.0
advanced_greedy,nullburn,2050.6000000000004,348.0
advanced_greedy,nullburn,2059.6000000000004,348.0
advanced_greedy,nullburn,2068.6000000000004,348.0
advanced_greedy,nullburn,2077.6000000000004,348.0
advanced_greedy,nullburn,2086.6000000000004,348.0
advanced_greedy,nullburn,2095.6000000000004,348.0
advanced_greedy,nullburn,2104.6000000000004,348.0
advanced_greedy,nullburn,2113.6000000000004,348.0
advanced_greedy,nullburn,2122.6000000000004,348.0
advanced_greedy,nullburn,2131.6000000000004,348.0
advanced_greedy,nullburn,2140.6000000000004,348.0
advanced_greedy,nullburn,2149.6000000000004,348.0
advanced_greedy,nullburn,2158.6000000000004,348.0
advanced_greedy,nullburn,2167.6000000000004,348.0
advanced_greedy,nullburn,2176.6000000000004,348.0
advanced_greedy,nullburn,2185.6000000000004,348.0
advanced_greedy,nullburn,2194.6000000000004,348.0
advanced_greedy,nullburn,2203.6000000000004,348.0
advanced_greedy,nullburn,2212.6000000000004,348.0
advanced_greedy,nullburn,2221.6000000000004,348.0
advanced_greedy,nullburn,2230.6000000000004,348.0
advanced_greedy,nullburn,2239.6000000000004,348.0
advanced_greedy,nullburn,2248.6000000000004,348.0
advanced_greedy,nullburn,2257.6000000000004,348.0
advanced_greedy,nullburn,2266.6000000000004,348.0
advanced_greedy,nullburn,2275.6000000000004,348.0
advanced_greedy,nullburn,2284.6000000000004,348.0
advanced_greedy,nullburn,2293.6000000000004,348.0
advanced_greedy,nullburn,2302.6000000000004,348.0
advanced_greedy,nullburn,2311.6000000000004,348.0
advanced_greedy,nullburn,2320.6000000000004,348.0
advanced_greedy,nullburn,2329.6000000000004,348.0
advanced_greedy,nullburn,2338.6000000000004,348.0
advanced_greedy,nullburn,2347.6000000000004,348.0
advanced_greedy,nullburn,2356.6000000000004,348.0
advanced_greedy,nullburn,2365.6000000000004,348.0
advanced_greedy,nullburn,2374.6000000000004,348.0
advanced_greedy,nullburn,2383.6000000000004,348.0
advanced_greedy,nullburn,2392.6000000000004,352.0
advanced_greedy,nullburn,2401.6000000000004,352.0
advanced_greedy,nullburn,2410.6000000000004,352.0
advanced_greedy,nullburn,2419.6000000000004,352.0
advanced_greedy,nullburn,2428.6000000000004,352.0
advanced_greedy,nullburn,2437.6000000000004,352.0
advanced_greedy,nullburn,2446.6000000000004,352.0
advanced_greedy,nullburn,2455.6000000000004,352.0
advanced_greedy,nullburn,2464.6000000000004,352.0
advanced_greedy,nullburn,2473.6000000000004,352.0
advanced_greedy,nullburn,2482.6000000000004,352.0
advanced_greedy,nullburn,2491.6000000000004,352.0
advanced_greedy,nullburn,2500.6000000000004,352.0
advanced_greedy,nullburn,2509.6000000000004,352.0
advanced_greedy,nullburn,2518.6000000000004,352.0
advanced_greedy,nullburn,2527.6000000000004,352.0
advanced_greedy,nullburn,2536.6000000000004,352.0
advanced_greedy,nullburn,2545.6000000000004,352.0
advanced_greedy,nullburn,2554.6000000000004,352.0
advanced_greedy,nullburn,2563.6000000000004,352.0
advanced_greedy,nullburn,2572.6000000000004,352.0
advanced_greedy,nullburn,2581.6000000000004,352.0
advanced_greedy,nullburn,2590.6000000000004,352.0
advanced_greedy,nullburn,2599.6000000000004,352.0
advanced_greedy,nullburn,2608.6000000000004,352.0
advanced_greedy,nullburn,2617.6000000000004,352.0
advanced_greedy,nullburn,2626.6000000000004,352.0
advanced_greedy,nullburn,2635.6000000000004,352.0
advanced_greedy,nullburn,2644.6000000000004,352.0
advanced_greedy,nullburn,2653.6000000000004,352.0
