policy,condition,episode,mean_end_trace,median_end_trace,tagged_mean_end_trace,untagged_mean_end_trace,tagged_error_median_km,tagged_error_p90_km,reacquired_fraction
advanced_greedy,nullburn,0,0.011413689771792065,0.009839178522204391,0.011408301795390072,0.011415036765892565,11.234723567962646,20.725721168518067,0.04
advanced_greedy,nullburn,1,0.011445611576892008,0.009353301187949335,0.009815784684145696,0.011853068300078587,7.772925615310669,19.952391433715825,0.04
advanced_greedy,nullburn,2,0.012366080340627514,0.010237915008565376,0.01442550825334608,0.011851223362447875,3.409075975418091,12.607932567596437,0.04
advanced_greedy,nullburn,3,0.011419579198047114,0.01030329878803362,0.010466118955034156,0.01165794425880036,7.653947353363037,22.305600738525392,0.05
advanced_greedy,nullburn,4,0.013270597477186206,0.011061599059918943,0.012830001506157688,0.013380746469943337,7.46231746673584,14.326560878753662,0.06
advanced_greedy,nullburn,5,0.01273353713425464,0.011550172943247384,0.012629611573150795,0.012759518524530602,8.923811197280884,18.158470726013185,0.06
advanced_greedy,nullburn,6,0.009860214614114477,0.008434797925906047,0.010796636500285527,0.009626109142571716,2.367431163787842,22.128231430053713,0.07
advanced_greedy,nullburn,7,0.012553913026054929,0.010739158586690431,0.011918211553682783,0.012712838394147965,4.521453380584717,17.161822891235353,0.04
advanced_greedy,nullburn,8,0.012637482713583286,0.010846231088472866,0.012067847396308956,0.012779891542901867,1.5456209778785706,15.464060497283942,0.06
advanced_greedy,nullburn,9,0.012209296132094961,0.010063265085694533,0.011956155435123735,0.012272581306337774,4.742977619171143,13.854636669158939,0.04
advanced_greedy,nullburn,10,0.012215057250243048,0.00961137716175564,0.01269469666998975,0.012095147395306372,7.738434314727783,17.17326107025147,0.03
advanced_greedy,nullburn,11,0.010999957380765897,0.008600036861517715,0.01143079751210297,0.010892247347931627,9.055588722229004,22.201910972595222,0.08
advanced_greedy,nullburn,12,0.012796089476962544,0.009645217853443955,0.01175891946913572,0.01305538197891925,5.057587623596191,21.370397377014164,0.08
advanced_greedy,nullburn,13,0.011105165782820498,0.009377446617034133,0.011886116920685948,0.010909927998354135,3.953877091407776,13.01401538848877,0.06
advanced_greedy,nullburn,14,0.012071022314248359,0.01025785375386416,0.015250636688766145,0.01127611872061891,4.789701819419861,20.436978340148926,0.07
advanced_greedy,nullburn,15,0.013435646008277048,0.01105906126123334,0.013462137470796318,0.013429023142647234,2.2069928646087646,15.843838882446297,0.04
advanced_greedy,nullburn,16,0.01134135057334541,0.009918932198378912,0.009532120003763531,0.011793658215740879,9.850788116455078,23.98648490905762,0.1
advanced_greedy,nullburn,17,0.012311880973286086,0.009199342949927799,0.01031702079997889,0.01281059601661289,10.209264755249023,25.15242099761963,0.05
advanced_greedy,nullburn,18,0.010319290972579838,0.007911599045986253,0.009971594715682614,0.010406215036804143,5.858246326446533,14.824609947204593,0.03
advanced_greedy,nullburn,19,0.010703075792266141,0.008786514137002287,0.00959593100312065,0.010979861989552517,5.620043992996216,18.09647579193116,0.05
advanced_greedy,nullburn,20,0.012737986824566633,0.010376285584562009,0.011319538056841116,0.013092599016498013,4.3952796459198,17.553224945068365,0.04
advanced_greedy,nullburn,21,0.011928644594953675,0.010425565750549263,0.013779676954901099,0.011465886504966813,5.8233208656311035,21.29658832550049,0.06
