policy,condition,maneuver_rso_cases,not_reacquired_rate,median_reacquisition_seconds_observed_only,selected_events,received_events,truth_gate_rejections,truth_gate_rejection_rate,median_selected_angular_separation_deg,p95_selected_angular_separation_deg
Frozen CNNv2 PPO,5% / 10 m/s,500,0.236,473.7500016228296,2519,2507,12,0.004763795156808257,0.027783310040831566,0.06268291622400284
Frozen CNNv2 PPO,10% / 10 m/s,1000,0.221,514.9999982211739,5192,5173,19,0.0036594761171032356,0.02742804680019617,0.06250760480761527
Frozen CNNv2 PPO,20% / 10 m/s,2000,0.2125,509.1499966336414,10332,10291,41,0.003968253968253968,0.027164996601641178,0.06292762905359267
Frozen CNNv2 PPO,20% / 100 m/s stress,2000,0.2165,506.60000040661544,10326,9769,557,0.053941506875847374,0.27141326665878296,0.6269854158163071
Advanced Greedy,5% / 10 m/s,500,0.544,2346.925041207578,5942,5910,32,0.005385392123864019,0.03504427336156368,0.06345374211668968
Advanced Greedy,10% / 10 m/s,1000,0.54,2194.125036103651,13249,13208,41,0.0030945731753339875,0.03132370114326477,0.06160429567098617
Advanced Greedy,20% / 10 m/s,2000,0.546,2165.3250426985323,26877,26811,66,0.0024556312088402726,0.030164802446961403,0.06081060469150543
Advanced Greedy,20% / 100 m/s stress,2000,0.5595,2118.600039021112,29090,27158,1932,0.06641457545548299,0.32940027117729187,0.6084303766489029
