policy,delta_v_t_mps,paired_seeds,tagged_object_episodes,final_error_median_km,final_error_p90_km,final_truth_offset_median_km,final_tagged_covariance_median,paired_episode_error_increase_median_km,selected_measurements,truth_gate_rejection_percent
Advanced Greedy,0,10,200,0.06934273615479469,0.14960001856088637,0.0,0.01022907261123418,0.0,2624,0.07621951219511924
Advanced Greedy,10,10,200,44.17500877380371,44.90737762451172,44.491859436035156,0.010236847521842687,44.122074,2628,0.03805175038051889
Advanced Greedy,100,10,200,441.49754333496094,447.9780578613281,444.55039978027344,0.010223194015832214,441.4385,2959,10.341331530922604
Frozen CNNv2 PPO,0,10,200,0.029362669214606285,0.07490853890776634,0.0,0.007849098550886797,0.0,1038,0.0
Frozen CNNv2 PPO,10,10,200,25.519015312194824,44.546826934814455,44.566898345947266,0.007893820255619695,25.421726,1037,0.5785920925747368
Frozen CNNv2 PPO,100,10,200,275.50624084472656,446.9295227050781,446.05255126953125,0.008156037034279306,271.53638,1032,5.620155038759689
