policy,sigma_km,pair_id,rso_id,delta_v_magnitude_mps,delta_v_radial_mps,delta_v_transverse_mps,delta_v_normal_mps,burn_time_seconds,seconds_after_burn,final_trace_maneuver,final_trace_control,final_trace_change,final_error_maneuver_km,final_error_control_km,final_nominal_truth_offset_km,reacquired,reacquisition_time_seconds,post_maneuver_observation_count
advanced_greedy,0,seed_001,34,10.36979835,-4.978214018,2.174502716,-8.832985963,4096.995023,1303.004977,0.00196793047,0.00196793047,0,14.3882122,0.07774939388,14.36060143,False,nan,0
advanced_greedy,0,seed_001,48,13.17644982,-4.777233736,-11.62970939,-3.942933831,2874.181919,2525.818081,0.004257005856,0.004257005856,0,23.74924088,0.1754159927,34.27030945,True,1047.418136,1
advanced_greedy,0,seed_001,50,5.448021862,-3.467397694,4.049546226,-1.122172357,4371.738983,1028.261017,0.01050378204,0.01050378204,0,6.109214306,0.08093301952,6.053826332,False,nan,0
advanced_greedy,0,seed_001,57,3.409007701,-0.9202793673,0.4095139555,3.25679562,2480.074279,2919.925721,0.01174739042,0.01174739042,0,10.23696899,0.1716812849,10.18571281,False,nan,0
advanced_greedy,0,seed_001,69,75.36565912,64.33450141,4.981329838,-38.93893754,1931.998612,3468.001388,0.003373744763,0.003373744763,0,174.6521301,0.02649407461,270.0510864,True,2053.101443,1
advanced_greedy,0,seed_001,73,62.27139641,11.72316484,-60.08688001,11.39566002,1898.843642,3501.156358,0.004856727821,0.004856727821,0,220.6442108,0.1092023551,220.6904602,False,nan,0
advanced_greedy,0,seed_001,75,8.769142349,-4.234607528,2.609144347,7.222071891,4184.271396,1215.728604,0.006398862014,0.006398862014,0,11.39220524,0.08958839625,11.38314152,False,nan,0
advanced_greedy,0,seed_001,82,16.37136664,13.07091611,-2.110464351,9.629056967,3122.092748,2277.907252,0.01232156353,0.01232156353,0,38.82865143,0,38.82865143,False,nan,0
advanced_greedy,0,seed_001,84,94.9060723,-14.13413938,-61.35144901,71.0168175,4285.491604,1114.508396,0.008565841667,0.008565841667,0,113.6113358,0.1562543213,113.5119095,False,nan,0
advanced_greedy,0,seed_001,88,2.392161791,-2.074906781,0.987165923,-0.6653595481,3307.405083,2092.594917,0.009913762246,0.009913762246,0,5.246831894,0,5.246831894,False,nan,0
advanced_greedy,0,seed_001,89,10.79278094,8.482265222,6.566512542,1.190046319,1341.55275,4058.44725,0.003080360441,0.003080360441,0,45.51137924,0.06189955771,45.54808807,False,nan,0
advanced_greedy,0,seed_001,93,1.531157954,-0.4340709092,1.425910185,0.350438686,4075.944876,1324.055124,0.008409865097,0.008409865097,0,2.315895796,0.1909957975,2.150060415,False,nan,0
advanced_greedy,0,seed_001,97,90.87256316,-90.64041956,-3.106862243,5.699516215,3998.354227,1401.645773,0.009459159681,0.009459159681,0,105.8547058,0.06079420447,135.4497528,True,1369.245846,1
advanced_greedy,0,seed_002,0,3.378152098,-1.901489801,-1.4910159,2.360745585,3902.399384,1497.600616,0.02597012187,0.02597012187,-3.431283035e-15,5.085887432,0,5.085887432,False,nan,0
advanced_greedy,0,seed_002,4,3.009176433,2.778682089,0.7263292846,-0.8980614805,2100.128976,3299.871024,0.00927407321,0.00927407321,-3.406996907e-15,10.24179363,0,10.24179363,False,nan,0
advanced_greedy,0,seed_002,7,6.338083691,0.6988915732,5.685491403,2.712571279,657.642043,4742.357957,0.002056762003,0.002048577569,8.184433576e-06,25.87050629,0.1529601812,29.37363625,True,907.6579711,1
advanced_greedy,0,seed_002,14,2.215859766,0.6137230995,1.928540974,0.9022794289,4698.640139,701.3598609,0.01422874646,0.01422874646,-3.413935801e-15,1.710767508,0.2227565944,1.569478512,False,nan,0
advanced_greedy,0,seed_002,18,95.46678227,-22.23393248,34.91259024,-86.02714575,1027.043256,4372.956744,0.006969678089,0.006969678089,-3.413068439e-15,412.4250793,0.05608085915,412.4189148,False,nan,0
advanced_greedy,0,seed_002,21,2.045702191,0.8096686218,-0.3517287568,-1.845432485,2202.140375,3197.859625,0.005682685799,0.005682685799,-1.21257171e-15,6.559195042,0.1285241991,6.539278984,False,nan,0
advanced_greedy,0,seed_002,34,2.707061157,0.8435705739,-2.028494319,1.581701487,2582.933331,2817.066669,0.009777721937,0.009777721937,-3.413935801e-15,7.598742485,0.1053026542,7.600846291,False,nan,0
advanced_greedy,0,seed_002,44,29.56018339,3.366179309,-23.36021765,-17.79813222,3881.778135,1518.221865,0.01163105122,0.01163105122,-3.405262183e-15,45.02484512,0,45.02484512,False,nan,0
advanced_greedy,0,seed_002,50,82.86370896,-30.81366755,-11.16752407,-76.10649487,2029.719389,3370.280611,0.04060477209,0.04060477209,-3.400058013e-15,277.9643555,0,277.9643555,False,nan,0
