seed,delta_v_t_mps,elapsed_seconds,seconds_since_burn,position_separation_km,geocentric_angle_deg,sensor,topocentric_angle_deg
0,1,900.0,0.0,0.0,0.0,agent_0,8.537736462515939e-07
0,1,900.0,0.0,0.0,0.0,agent_1,8.537736462515939e-07
0,1,900.0,0.0,0.0,0.0,agent_2,0.0
0,1,1200.0,300.0,0.2999846995357293,0.0003510110486750262,agent_0,0.0003862115654031625
0,1,1200.0,300.0,0.2999846995357293,0.0003510110486750262,agent_1,0.0003639359762247095
0,1,1200.0,300.0,0.2999846995357293,0.0003510110486750262,agent_2,0.0003330341073454329
0,1,1500.0,600.0,0.5998778529216279,0.0007010199143280164,agent_0,0.0007721022089029822
0,1,1500.0,600.0,0.5998778529216279,0.0007010199143280164,agent_1,0.0007271966599785984
0,1,1500.0,600.0,0.5998778529216279,0.0007010199143280164,agent_2,0.000666069309069336
0,1,1800.0,900.0,0.8995888096887271,0.0010497087088018723,agent_0,0.0011571285287015878
0,1,1800.0,900.0,0.8995888096887271,0.0010497087088018723,agent_1,0.0010893693382094082
0,1,1800.0,900.0,0.8995888096887271,0.0010497087088018723,agent_2,0.0009988545974423295
0,1,2100.0,1200.0,1.1990282535265544,0.0013967614213848541,agent_0,0.0015407577325300835
0,1,2100.0,1200.0,1.1990282535265544,0.0013967614213848541,agent_1,0.0014500651061639888
0,1,2100.0,1200.0,1.1990282535265544,0.0013967614213848541,agent_2,0.001331134424423135
0,1,2400.0,1500.0,1.4981086003966066,0.0017418666831634756,agent_0,0.0019224645110185496
0,1,2400.0,1500.0,1.4981086003966066,0.0017418666831634756,agent_1,0.0018088987492096953
0,1,2400.0,1500.0,1.4981086003966066,0.0017418666831634756,agent_2,0.001662644770000169
0,1,2700.0,1800.0,1.7967443828391014,0.0020847149019989153,agent_0,0.0023017428737840784
0,1,2700.0,1800.0,1.7967443828391014,0.0020847149019989153,agent_1,0.002165505255948535
0,1,2700.0,1800.0,1.7967443828391014,0.0020847149019989153,agent_2,0.0019931109424712293
0,1,3000.0,2100.0,2.094852641280423,0.0024249983734693156,agent_0,0.0026780967275799802
0,1,3000.0,2100.0,2.094852641280423,0.0024249983734693156,agent_1,0.0025195294274259882
0,1,3000.0,2100.0,2.094852641280423,0.0024249983734693156,agent_2,0.002322250820767158
0,1,3300.0,2400.0,2.392353308028407,0.002762412570538011,agent_0,0.003051045268472038
0,1,3300.0,2400.0,2.392353308028407,0.002762412570538011,agent_1,0.0028706284935202816
0,1,3300.0,2400.0,2.392353308028407,0.002762412570538011,agent_2,0.002649773544792253
0,1,3600.0,2700.0,2.689169591525813,0.0030966532574673786,agent_0,0.0034201225991482695
0,1,3600.0,2700.0,2.689169591525813,0.0030966532574673786,agent_1,0.00321847231637098
0,1,3600.0,2700.0,2.689169591525813,0.0030966532574673786,agent_2,0.002975376413906546
0,1,3900.0,3000.0,2.985228368120851,0.003427418768838413,agent_0,0.0037848770855832548
0,1,3900.0,3000.0,2.985228368120851,0.003427418768838413,agent_1,0.0035627433106750826
0,1,3900.0,3000.0,2.985228368120851,0.003427418768838413,agent_2,0.0032987480318760563
0,1,4200.0,3300.0,3.280460566214771,0.0037544075544276184,agent_0,0.004144871277917706
0,1,4200.0,3300.0,3.280460566214771,0.0037544075544276184,agent_1,0.0039031328397909687
0,1,4200.0,3300.0,3.280460566214771,0.0037544075544276184,agent_2,0.003619564991206149
0,1,4500.0,3600.0,3.5748015693253454,0.004077318936989659,agent_0,0.004499683740814722
0,1,4500.0,3600.0,3.5748015693253454,0.004077318936989659,agent_1,0.004239344930704835
0,1,4500.0,3600.0,3.5748015693253454,0.004077318936989659,agent_2,0.003937492706005827
0,1,4800.0,3900.0,3.8681916045625746,0.004395853501102417,agent_0,0.004848908115536164
0,1,4800.0,3900.0,3.8681916045625746,0.004395853501102417,agent_1,0.0045710933393679
0,1,4800.0,3900.0,3.8681916045625746,0.004395853501102417,agent_2,0.004252186025608197
0,1,5100.0,4200.0,4.160576155307405,0.004709710051037226,agent_0,0.005192151902656723
0,1,5100.0,4200.0,4.160576155307405,0.004709710051037226,agent_1,0.004898100154131015
0,1,5100.0,4200.0,4.160576155307405,0.004709710051037226,agent_2,0.004563286202215359
0,1,5400.0,4500.0,4.451906366962684,0.005018588469022572,agent_0,0.005529037739760909
0,1,5400.0,4500.0,4.451906366962684,0.005018588469022572,agent_1,0.005220097681817109
0,1,5400.0,4500.0,4.451906366962684,0.005018588469022572,agent_2,0.004870422165470185
0,5,900.0,0.0,0.0,0.0,agent_0,8.537736462515939e-07
0,5,900.0,0.0,0.0,0.0,agent_1,8.537736462515939e-07
0,5,900.0,0.0,0.0,0.0,agent_2,0.0
0,5,1200.0,300.0,1.499923497724693,0.0017550542051123538,agent_0,0.0019310548072871648
0,5,1200.0,300.0,1.499923497724693,0.0017550542051123538,agent_1,0.001819686891353392
0,5,1200.0,300.0,1.499923497724693,0.0017550542051123538,agent_2,0.0016651687857800125
0,5,1500.0,600.0,2.999389265896843,0.003505094269115791,agent_0,0.0038605177482074404
0,5,1500.0,600.0,2.999389265896843,0.003505094269115791,agent_1,0.003635988512865632
0,5,1500.0,600.0,2.999389265896843,0.003505094269115791,agent_2,0.0033303342887769007
0,5,1800.0,900.0,4.49794405821905,0.005248523477250231,agent_0,0.005785653228964648
0,5,1800.0,900.0,4.49794405821905,0.005248523477250231,agent_1,0.005446860878548424
0,5,1800.0,900.0,4.49794405821905,0.005248523477250231,agent_2,0.004994246206270642
0,5,2100.0,1200.0,5.995141308658979,0.006983764369699574,agent_0,0.007703787106997709
0,5,2100.0,1200.0,5.995141308658979,0.006983764369699574,agent_1,0.007250331366635246
0,5,2100.0,1200.0,5.995141308658979,0.006983764369699574,agent_2,0.006655618132112116
0,5,2400.0,1500.0,7.490543126638811,0.00870924947717222,agent_0,0.009612300801873098
0,5,2400.0,1500.0,7.490543126638811,0.00870924947717222,agent_1,0.009044487670235232
0,5,2400.0,1500.0,7.490543126638811,0.00870924947717222,agent_2,0.008313120434112694
0,5,2700.0,1800.0,8.983722222865094,0.010423428786880599,agent_0,0.011508648484975873
0,5,2700.0,1800.0,8.983722222865094,0.010423428786880599,agent_1,0.010827489537399792
0,5,2700.0,1800.0,8.983722222865094,0.010423428786880599,agent_2,0.009965384551366821
0,5,3000.0,2100.0,10.474263870074077,0.012124762597103789,agent_0,0.013390350052395925
0,5,3000.0,2100.0,10.474263870074077,0.012124762597103789,agent_1,0.012597559094688678
0,5,3000.0,2100.0,10.474263870074077,0.012124762597103789,agent_2,0.011610995663669764
0,5,3300.0,2400.0,11.961767826822985,0.013811720952358062,agent_0,0.015254996360004562
0,5,3300.0,2400.0,11.961767826822985,0.013811720952358062,agent_1,0.01435298075136154
0,5,3300.0,2400.0,11.961767826822985,0.013811720952358062,agent_2,0.013248491284611313
0,5,3600.0,2700.0,13.445850262359578,0.015482782334152454,agent_0,0.01710025054065218
0,5,3600.0,2700.0,13.445850262359578,0.015482782334152454,agent_1,0.016092099589603254
0,5,3600.0,2700.0,13.445850262359578,0.015482782334152454,agent_2,0.014876359028063592
0,5,3900.0,3000.0,14.926145719563266,0.01713643349151675,agent_0,0.018923851489431685
