policy,sigma_km,maneuver,pair_id,rso_id,delta_v_magnitude_mps,seconds_after_burn,nis,exceeds_chi2_p99
advanced_greedy,0,nullburn,seed_012,19,0,650.3770752,5.258528108e-05,False
advanced_greedy,0,nullburn,seed_012,64,0,1732.730591,2.33490955e-05,False
advanced_greedy,0,nullburn,seed_012,49,0,1917.509521,6.975696306e-05,False
advanced_greedy,0,nullburn,seed_013,90,0,407.5117798,6.676775229e-05,False
advanced_greedy,0,nullburn,seed_013,2,0,559.7029419,7.284145909e-07,False
advanced_greedy,0,nullburn,seed_013,92,0,818.4456177,1.159922613e-05,False
advanced_greedy,0,nullburn,seed_013,88,0,3742.738525,3.032505674e-06,False
advanced_greedy,0,nullburn,seed_013,5,0,3805.286377,3.700467278e-05,False
advanced_greedy,0,nullburn,seed_013,24,0,4019.890625,6.24577433e-06,False
advanced_greedy,0,nullburn,seed_014,76,0,6.117819786,4.017529136e-06,False
advanced_greedy,0,nullburn,seed_014,86,0,129.2483521,0.0002096649841,False
advanced_greedy,0,nullburn,seed_014,60,0,217.2257843,3.446201663e-05,False
advanced_greedy,0,nullburn,seed_014,2,0,736.1309814,1.15263847e-05,False
advanced_greedy,0,nullburn,seed_014,89,0,1648.514893,6.73754912e-05,False
advanced_greedy,0,nullburn,seed_014,22,0,1900.520874,1.240972233e-05,False
advanced_greedy,0,nullburn,seed_014,92,0,2613.57373,4.668970178e-06,False
advanced_greedy,0,nullburn,seed_015,92,0,0.2882979512,1.144537237e-06,False
advanced_greedy,0,nullburn,seed_015,66,0,258.5127563,0.02862704732,False
advanced_greedy,0,nullburn,seed_015,81,0,1770.269409,1.851201341e-05,False
advanced_greedy,0,nullburn,seed_015,76,0,1876.348511,0.0001106410127,False
advanced_greedy,0,nullburn,seed_016,98,0,1.421763539,1.230718499e-05,False
advanced_greedy,0,nullburn,seed_016,37,0,174.1312103,5.743032034e-06,False
advanced_greedy,0,nullburn,seed_016,22,0,1031.473145,7.120520604e-05,False
advanced_greedy,0,nullburn,seed_016,68,0,1263.921509,8.219338952e-07,False
advanced_greedy,0,nullburn,seed_016,35,0,1281.639526,4.106424603e-05,False
advanced_greedy,0,nullburn,seed_016,19,0,1289.765991,0.1897378713,False
advanced_greedy,0,nullburn,seed_016,33,0,1525.642578,1.111737856e-05,False
advanced_greedy,0,nullburn,seed_016,20,0,1532.203125,6.313349149e-05,False
advanced_greedy,0,nullburn,seed_016,48,0,1558.953247,5.70684324e-06,False
advanced_greedy,0,nullburn,seed_016,82,0,2145.90625,8.634747064e-05,False
advanced_greedy,0,nullburn,seed_016,90,0,3783.855713,1.454796802e-05,False
advanced_greedy,0,nullburn,seed_017,91,0,0.07561460137,2.389078873e-06,False
advanced_greedy,0,nullburn,seed_017,93,0,72.78295135,2.690606925e-05,False
advanced_greedy,0,nullburn,seed_017,97,0,1142.355957,1.055906705e-05,False
advanced_greedy,0,nullburn,seed_017,82,0,1684.327026,5.726231757e-05,False
advanced_greedy,0,nullburn,seed_017,24,0,3208.875732,1.129484644e-05,False
advanced_greedy,0,nullburn,seed_018,32,0,425.3285217,3.228570131e-05,False
advanced_greedy,0,nullburn,seed_018,37,0,958.5484619,1.471786163e-05,False
advanced_greedy,0,nullburn,seed_018,84,0,2863.186523,3.601483968e-06,False
advanced_greedy,0,nullburn,seed_019,51,0,108.2893753,8.809684005e-06,False
advanced_greedy,0,nullburn,seed_019,41,0,171.7639313,7.207861199e-05,False
advanced_greedy,0,nullburn,seed_019,43,0,463.3659363,4.473214722e-05,False
advanced_greedy,0,nullburn,seed_019,31,0,2296.073242,4.395674114e-05,False
advanced_greedy,0,nullburn,seed_019,69,0,3576.298828,2.277127169e-05,False
advanced_greedy,0,nullburn,seed_020,20,0,1.191939473,5.823995366e-07,False
advanced_greedy,0,nullburn,seed_020,60,0,1237.112671,5.364494882e-06,False
advanced_greedy,0,nullburn,seed_020,27,0,1992.298218,2.694639988e-05,False
advanced_greedy,0,nullburn,seed_020,47,0,2967.426025,1.382374194e-05,False
advanced_greedy,0,nullburn,seed_021,52,0,307.4379272,4.564605661e-06,False
advanced_greedy,0,nullburn,seed_021,78,0,316.9515686,5.149419849e-06,False
advanced_greedy,0,nullburn,seed_021,18,0,567.8445435,4.037863982e-05,False
advanced_greedy,0,nullburn,seed_021,42,0,1127.741577,1.786415993e-08,False
advanced_greedy,0,nullburn,seed_021,28,0,1490.270752,4.068616909e-05,False
advanced_greedy,0,nullburn,seed_021,60,0,3235.918457,2.163695535e-05,False
advanced_greedy,0,nullburn,seed_022,43,0,1.298160911,3.186794402e-06,False
advanced_greedy,0,nullburn,seed_022,26,0,158.0527344,6.041803772e-06,False
advanced_greedy,0,nullburn,seed_022,54,0,1117.321411,5.065365258e-06,False
advanced_greedy,0,nullburn,seed_022,89,0,1262.535889,5.840470749e-06,False
advanced_greedy,0,nullburn,seed_022,59,0,1276.108887,1.301536849e-05,False
advanced_greedy,0,nullburn,seed_022,63,0,3438.829102,9.993614185e-06,False
advanced_greedy,0,nullburn,seed_022,20,0,3746.291748,1.635767694e-05,False
advanced_greedy,0,nullburn,seed_023,92,0,433.4443665,7.612743502e-05,False
advanced_greedy,0,nullburn,seed_023,29,0,630.3912354,1.082048038e-05,False
advanced_greedy,0,nullburn,seed_023,31,0,1128.222168,2.784124717e-07,False
advanced_greedy,0,nullburn,seed_023,83,0,1266.362549,2.144292012e-05,False
advanced_greedy,0,nullburn,seed_023,69,0,1292.999756,4.126743443e-05,False
advanced_greedy,0,nullburn,seed_023,18,0,1500.417114,2.926391608e-05,False
