policy,sigma_km,maneuver,group,measurements,mean_nis,median_nis,p95_nis,fraction_above_chi2_p95,fraction_above_chi2_p99
frozen_cnnv2_ppo,0,nullburn,maneuvering_after_burn,5244,0.0002198763898,4.429489991e-06,7.022413447e-05,0,0
frozen_cnnv2_ppo,0,zerodv,all,52862,0.0004334090188,5.724171842e-06,8.305589145e-05,0,0
frozen_cnnv2_ppo,0,zerodv,non_maneuvering,42534,0.0004600782638,5.652807204e-06,8.24207822e-05,0,0
frozen_cnnv2_ppo,0,zerodv,maneuvering_before_burn,1682,0.0005536557072,1.167306118e-05,0.0001199686871,0,0
frozen_cnnv2_ppo,0,zerodv,maneuvering_after_burn,8646,0.0002788167686,5.405672937e-06,7.651000124e-05,0,0
frozen_cnnv2_ppo,0,random,all,52814,2.312424287,7.377636166e-06,0.6666133821,0.02698148218,0.02334608248
frozen_cnnv2_ppo,0,random,non_maneuvering,42534,0.000460078451,5.653135759e-06,8.243524244e-05,0,0
frozen_cnnv2_ppo,0,random,maneuvering_before_burn,5084,0.0004305401675,8.888328466e-06,9.71983347e-05,0,0
frozen_cnnv2_ppo,0,random,maneuvering_after_burn,5196,23.50011903,0.7117932737,122.9285984,0.2742494226,0.2372979215
frozen_cnnv2_ppo,10,nullburn,all,52865,2.619793999,2.003554106,7.139150715,0.03665941549,0.007150288471
frozen_cnnv2_ppo,10,nullburn,non_maneuvering,42540,2.623739742,2.009271502,7.125304699,0.03627174424,0.007310766338
frozen_cnnv2_ppo,10,nullburn,maneuvering_before_burn,5084,2.406926017,1.759207189,6.951686621,0.03422501967,0.005114083399
frozen_cnnv2_ppo,10,nullburn,maneuvering_after_burn,5241,2.794258597,2.158757687,7.472056389,0.04216752528,0.007822934554
frozen_cnnv2_ppo,10,zerodv,all,52865,2.619793999,2.003554106,7.139150715,0.03665941549,0.007150288471
frozen_cnnv2_ppo,10,zerodv,non_maneuvering,42540,2.623739742,2.009271502,7.125304699,0.03627174424,0.007310766338
frozen_cnnv2_ppo,10,zerodv,maneuvering_before_burn,1682,1.785294604,1.106336772,5.943435216,0.01902497027,0.003567181926
frozen_cnnv2_ppo,10,zerodv,maneuvering_after_burn,8643,2.762773997,2.141482592,7.397160769,0.0419993058,0.007057734583
frozen_cnnv2_ppo,10,random,all,52818,4.938165818,2.102423906,8.908544111,0.06592449544,0.03339770533
frozen_cnnv2_ppo,10,random,non_maneuvering,42540,2.623739742,2.009271502,7.125304699,0.03627174424,0.007310766338
frozen_cnnv2_ppo,10,random,maneuvering_before_burn,5084,2.406926017,1.759207189,6.951686621,0.03422501967,0.005114083399
frozen_cnnv2_ppo,10,random,maneuvering_after_burn,5194,26.37145585,4.299814463,127.4838932,0.3398151714,0.2747400847
frozen_cnnv2_ppo,10,radial,all,52856,4.317481524,2.099291086,8.828042269,0.06487437566,0.03199258362
frozen_cnnv2_ppo,10,radial,non_maneuvering,42540,2.623790053,2.009271502,7.125304699,0.03629525153,0.007310766338
frozen_cnnv2_ppo,10,radial,maneuvering_before_burn,5084,2.406927106,1.759207189,6.951686621,0.03422501967,0.005114083399
frozen_cnnv2_ppo,10,radial,maneuvering_after_burn,5232,19.94494594,4.15907979,95.30350227,0.3270259939,0.2587920489
frozen_cnnv2_ppo,10,transverse,all,52810,3.781944159,2.092415333,8.521638441,0.0614466957,0.02779776557
frozen_cnnv2_ppo,10,transverse,non_maneuvering,42545,2.624051401,2.009403706,7.126306057,0.03626748149,0.007333411682
frozen_cnnv2_ppo,10,transverse,maneuvering_before_burn,5085,2.407060724,1.760155439,6.951488018,0.03421828909,0.005113077679
frozen_cnnv2_ppo,10,transverse,maneuvering_after_burn,5180,14.64175683,3.84962368,67.9769371,0.294980695,0.2181467181
frozen_cnnv2_ppo,10,normal,all,52813,6.758457996,2.120410204,9.419505882,0.07068335448,0.03790733342
frozen_cnnv2_ppo,10,normal,non_maneuvering,42540,2.623739742,2.009271502,7.125304699,0.03627174424,0.007310766338
