comparison,policy,held_fixed,contrast,metric,mean_paired_change,ci_low,ci_high
noise_effect,advanced_greedy,zerodv,sigma10_minus_sigma00,final_tagged_covariance,7.546852899e-06,-5.042195204e-06,2.13279696e-05
noise_effect,advanced_greedy,zerodv,sigma10_minus_sigma00,final_tagged_error_median_km,5.291218913,4.791620767,5.797491858
noise_effect,advanced_greedy,zerodv,sigma10_minus_sigma00,reacquired_fraction,-0.0025,-0.005,0
noise_effect,advanced_greedy,zerodv,sigma10_minus_sigma00,mean_reward_per_agent,-2.883052354e-08,-1.250004984e-07,6.03039055e-08
noise_effect,advanced_greedy,random,sigma10_minus_sigma00,final_mean_covariance,4.822175999e-06,-6.234131903e-06,1.649662639e-05
noise_effect,advanced_greedy,random,sigma10_minus_sigma00,final_tagged_covariance,4.022171719e-06,-8.29479749e-06,1.753763235e-05
noise_effect,advanced_greedy,random,sigma10_minus_sigma00,final_tagged_error_median_km,3.421032958,2.697622845,4.140169566
noise_effect,advanced_greedy,random,sigma10_minus_sigma00,reacquired_fraction,-0.0025,-0.0065,0.001
noise_effect,advanced_greedy,random,sigma10_minus_sigma00,mean_reward_per_agent,-3.922407e-09,-1.050001767e-07,9.066005348e-08
maneuver_effect,frozen_cnnv2_ppo,0.0|random,random_minus_control,final_mean_covariance,9.452447724e-07,4.827917112e-07,1.469917884e-06
maneuver_effect,frozen_cnnv2_ppo,0.0|random,random_minus_control,final_tagged_covariance,4.433521942e-06,2.235485566e-06,6.94391789e-06
maneuver_effect,frozen_cnnv2_ppo,0.0|random,random_minus_control,final_tagged_error_median_km,22.97752354,20.75175905,25.34347901
maneuver_effect,frozen_cnnv2_ppo,0.0|random,random_minus_control,reacquired_fraction,-0.0005,-0.0015,0
maneuver_effect,frozen_cnnv2_ppo,0.0|random,random_minus_control,mean_reward_per_agent,1.143040795e-08,-1.123745163e-08,5.025800852e-08
maneuver_effect,frozen_cnnv2_ppo,10.0|random,random_minus_control,final_mean_covariance,8.740660047e-07,4.108933404e-07,1.388368449e-06
maneuver_effect,frozen_cnnv2_ppo,10.0|random,random_minus_control,final_tagged_covariance,4.370330024e-06,2.054466702e-06,6.941842247e-06
maneuver_effect,frozen_cnnv2_ppo,10.0|random,random_minus_control,final_tagged_error_median_km,20.24995304,18.14335685,22.49962791
maneuver_effect,frozen_cnnv2_ppo,10.0|random,random_minus_control,reacquired_fraction,-0.0005,-0.0015,0
maneuver_effect,frozen_cnnv2_ppo,10.0|random,random_minus_control,mean_reward_per_agent,1.208837457e-08,-1.055865863e-08,5.110538519e-08
maneuver_effect,frozen_cnnv2_ppo,10.0|radial,radial_minus_control,final_mean_covariance,2.951121973e-08,-3.398138704e-07,3.971324384e-07
maneuver_effect,frozen_cnnv2_ppo,10.0|radial,radial_minus_control,final_tagged_covariance,4.427737892e-07,-1.097017869e-06,2.16410336e-06
maneuver_effect,frozen_cnnv2_ppo,10.0|radial,radial_minus_control,final_tagged_error_median_km,19.10587949,17.12117983,21.18890527
maneuver_effect,frozen_cnnv2_ppo,10.0|radial,radial_minus_control,reacquired_fraction,-0.0005,-0.0015,0
maneuver_effect,frozen_cnnv2_ppo,10.0|radial,radial_minus_control,mean_reward_per_agent,7.029667175e-10,-2.887012615e-09,4.148156613e-09
maneuver_effect,frozen_cnnv2_ppo,10.0|transverse,transverse_minus_control,final_mean_covariance,1.31432667e-06,2.006784386e-07,2.549955949e-06
maneuver_effect,frozen_cnnv2_ppo,10.0|transverse,transverse_minus_control,final_tagged_covariance,5.511480333e-06,7.697118519e-07,1.001486322e-05
maneuver_effect,frozen_cnnv2_ppo,10.0|transverse,transverse_minus_control,final_tagged_error_median_km,16.65461432,14.89903669,18.57803399
maneuver_effect,frozen_cnnv2_ppo,10.0|transverse,transverse_minus_control,reacquired_fraction,-0.0005,-0.0015,0
maneuver_effect,frozen_cnnv2_ppo,10.0|transverse,transverse_minus_control,mean_reward_per_agent,1.247461002e-08,-1.435773096e-08,5.458525256e-08
maneuver_effect,frozen_cnnv2_ppo,10.0|normal,normal_minus_control,final_mean_covariance,1.072485581e-06,6.203681951e-07,1.604648143e-06
maneuver_effect,frozen_cnnv2_ppo,10.0|normal,normal_minus_control,final_tagged_covariance,5.362427906e-06,3.101840976e-06,8.023240717e-06
maneuver_effect,frozen_cnnv2_ppo,10.0|normal,normal_minus_control,final_tagged_error_median_km,25.09934454,22.53962063,27.78990814
maneuver_effect,frozen_cnnv2_ppo,10.0|normal,normal_minus_control,reacquired_fraction,-0.0005,-0.0015,0
maneuver_effect,frozen_cnnv2_ppo,10.0|normal,normal_minus_control,mean_reward_per_agent,-7.47181061e-09,-1.411205557e-08,-1.323893985e-09
maneuver_effect,frozen_cnnv2_ppo,10.0|finite1800s,finite1800s_minus_control,final_mean_covariance,5.034292613e-07,8.930242373e-08,9.872533392e-07
maneuver_effect,frozen_cnnv2_ppo,10.0|finite1800s,finite1800s_minus_control,final_tagged_covariance,2.812363997e-06,9.934653375e-07,5.164064132e-06
maneuver_effect,frozen_cnnv2_ppo,10.0|finite1800s,finite1800s_minus_control,final_tagged_error_median_km,11.99402115,10.79577272,13.26629662
maneuver_effect,frozen_cnnv2_ppo,10.0|finite1800s,finite1800s_minus_control,reacquired_fraction,0,0,0
maneuver_effect,frozen_cnnv2_ppo,10.0|finite1800s,finite1800s_minus_control,mean_reward_per_agent,1.652949201e-08,-4.75675855e-09,5.449452806e-08
maneuver_effect,frozen_cnnv2_ppo,10.0|stress100to2000,stress100to2000_minus_control,final_mean_covariance,0.0001256849435,9.69258731e-05,0.0001581254339
maneuver_effect,frozen_cnnv2_ppo,10.0|stress100to2000,stress100to2000_minus_control,final_tagged_covariance,0.0005900662122,0.000460736378,0.0007360431719
maneuver_effect,frozen_cnnv2_ppo,10.0|stress100to2000,stress100to2000_minus_control,final_tagged_error_median_km,997.8756984,933.4004077,1065.15011
maneuver_effect,frozen_cnnv2_ppo,10.0|stress100to2000,stress100to2000_minus_control,reacquired_fraction,-0.0595,-0.0715,-0.048
maneuver_effect,frozen_cnnv2_ppo,10.0|stress100to2000,stress100to2000_minus_control,mean_reward_per_agent,-6.709163309e-07,-8.986115499e-07,-4.586423447e-07
noise_effect,frozen_cnnv2_ppo,nullburn,sigma10_minus_sigma00,final_mean_covariance,8.362846049e-08,-1.878821655e-06,2.668807585e-06
noise_effect,frozen_cnnv2_ppo,nullburn,sigma10_minus_sigma00,final_tagged_covariance,4.275055968e-07,-9.997112289e-07,2.248400234e-06
noise_effect,frozen_cnnv2_ppo,nullburn,sigma10_minus_sigma00,final_tagged_error_median_km,4.376903631,4.126478892,4.630172849
noise_effect,frozen_cnnv2_ppo,nullburn,sigma10_minus_sigma00,reacquired_fraction,-0.0005,-0.0015,0
noise_effect,frozen_cnnv2_ppo,nullburn,sigma10_minus_sigma00,mean_reward_per_agent,-1.405134908e-08,-5.544930441e-08,1.369172696e-08
noise_effect,frozen_cnnv2_ppo,zerodv,sigma10_minus_sigma00,final_mean_covariance,8.362846049e-08,-1.878821655e-06,2.668807585e-06
noise_effect,frozen_cnnv2_ppo,zerodv,sigma10_minus_sigma00,final_tagged_covariance,4.275055968e-07,-9.997112289e-07,2.248400234e-06
noise_effect,frozen_cnnv2_ppo,zerodv,sigma10_minus_sigma00,final_tagged_error_median_km,4.376903631,4.126478892,4.630172849
noise_effect,frozen_cnnv2_ppo,zerodv,sigma10_minus_sigma00,reacquired_fraction,0,0,0
noise_effect,frozen_cnnv2_ppo,zerodv,sigma10_minus_sigma00,mean_reward_per_agent,-1.405134908e-08,-5.544930441e-08,1.369172696e-08
noise_effect,frozen_cnnv2_ppo,random,sigma10_minus_sigma00,final_mean_covariance,1.244969276e-08,-1.945871547e-06,2.577129046e-06
noise_effect,frozen_cnnv2_ppo,random,sigma10_minus_sigma00,final_tagged_covariance,3.643136784e-07,-9.466547009e-07,2.112140002e-06
noise_effect,frozen_cnnv2_ppo,random,sigma10_minus_sigma00,final_tagged_error_median_km,1.649333124,1.193094419,2.093574344
noise_effect,frozen_cnnv2_ppo,random,sigma10_minus_sigma00,reacquired_fraction,-0.0005,-0.0015,0
noise_effect,frozen_cnnv2_ppo,random,sigma10_minus_sigma00,mean_reward_per_agent,-1.339338247e-08,-5.474604938e-08,1.415626151e-08
